1	3ns
2	5ns
3	9ns
4	12ns
5	13ns
6	16ns
7	18ns
8	20ns
9	36ns
10	46ns
11	57ns
12	96ns
13	191ns
14	147ns
15	119ns
16	160ns
17	127ns
18	123ns
19	160ns
20	215ns
21	232ns
22	264ns
23	295ns
24	264ns
25	320ns
26	315ns
27	382ns
28	368ns
29	372ns
30	357ns
31	400ns
32	404ns
33	396ns
34	454ns
35	441ns
36	455ns
37	410ns
38	414ns
39	464ns
40	459ns
41	450ns
42	479ns
43	496ns
44	544ns
45	525ns
46	614ns
47	577ns
48	573ns
49	593ns
50	590ns
51	606ns
52	624ns
53	645ns
54	656ns
55	637ns
56	699ns
57	652ns
58	708ns
59	647ns
60	708ns
61	730ns
62	729ns
63	734ns
64	764ns
65	763ns
66	772ns
67	777ns
68	817ns
69	792ns
70	845ns
71	880ns
72	873ns
73	893ns
74	943ns
75	909ns
76	964ns
77	930ns
78	930ns
79	867ns
80	959ns
81	967ns
82	998ns
83	961ns
84	951ns
85	1006ns
86	993ns
87	1019ns
88	1162ns
89	1010ns
90	1079ns
91	1045ns
92	1136ns
93	1114ns
94	1183ns
95	1209ns
96	1227ns
97	1224ns
98	1115ns
99	1184ns
100	1119ns
101	1210ns
102	1160ns
103	1193ns
104	1255ns
105	1261ns
106	1214ns
107	1279ns
108	1299ns
109	1327ns
110	1373ns
111	1288ns
112	1310ns
113	1322ns
114	1383ns
115	1310ns
116	1412ns
117	1434ns
118	1462ns
119	1478ns
120	1447ns
121	1420ns
122	1513ns
123	1416ns
124	1516ns
125	1445ns
126	1613ns
127	1569ns
128	1656ns
